00004,"Stream width, feet",Agree,"Instream features, est. stream width",ft,,,,,,
00010,"Temperature, water, degrees Celsius",Agree,"Temperature, water",deg C,,,,,,
00011,"Temperature, water, degrees Fahrenheit",Agree,"Temperature, water, deg F",deg F,,,,,,
00020,"Temperature, air, degrees Celsius",Agree,"Temperature, air,  deg C",deg C,,,,,,
00021,"Temperature, air, degrees Fahrenheit",Agree,"Temperature, air,  deg F",deg F,,,,,,
00025,"Barometric pressure, millimeters of mercury",Agree,Barometric pressure,mm/Hg,,,,,,
00030,"Incident solar radiation intensity, calories per square centimeter per day",Agree,"Solar irradiation, local",cal/cm2/d,,,,,,
00032,"Cloud cover, percent",Agree,Cloud cover (percent),%,,,,,,
00034,"Depth to 1 percent of surface light, feet",Agree,"Light attenuation, depth at 99%",ft,,,,,,
00036,"Wind direction, degrees clockwise from true north",Agree,Wind direction,Deg,,,,,,
00042,"Altitude, feet above mean sea level",Agree,Altitude,ft abv MSL,,,,,,
00045,"Precipitation, total, inches",Agree,Precipitation,in,Total,,,,,
00047,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",Agree,Partial pressure of dissolved gases,mm/Hg,Dissolved,,,,,
00048,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",Agree,Partial pressure of dissolved gases,%,Dissolved,,,,,
00050,"Evaporation total, inches per day",Agree,Evaporation,inches/day,,,,,,
00052,"Relative humidity, percent",Agree,Relative humidity,%,,,,,,
00054,"Reservoir storage, acre feet",Agree,Reservoir storage,ac-ft,,,,,,
00055,"Stream velocity, feet per second",Agree,Stream velocity,ft/sec,,,,,,
00059,"Flow rate, instantaneous, gallons per minute",Agree,"Flow rate, instantaneous",gal/min,,,,,,
00060,"Discharge, cubic feet per second",Not checked,"Stream flow, mean. daily",cfs,,,Mean,1 Day,,
00061,"Discharge, instantaneous, cubic feet per second",Agree,"Stream flow, instantaneous",cfs,,,,,,
00064,"Mean depth of stream, feet",Agree,Depth,ft,,,Mean,,,
00065,"Gage height, feet",Agree,"Height, gage",ft,,,,,,
00067,"Tide stage, code",Agree,Tide stage,code,,,,,,
00070,"Turbidity, water, unfiltered, Jackson Turbidity Units",Agree,Turbidity,JTU,Total,,,,,
00072,"Stream stage, meters",Agree,Stream stage,m,,,,,,
00075,"Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide",Agree,"Turbidity, hellige",mg/l SiO2,Total,,,,,
00076,"Turbidity, water, unfiltered, nephelometric turbidity units",Not agree,Turbidity,NTU,Total,,,,,
00077,"Transparency, water, in situ, Secchi disc, inches",Agree,"Water transparency, Secchi disc",in,,,,,,
00078,"Transparency, water, in situ, Secchi disc, meters",Agree,"Water transparency, Secchi disc",m,,,,,,
00080,"Color, water, filtered, platinum cobalt units",Agree,Color,PCU,Dissolved,,,,,
00081,"Apparent color, water, unfiltered, platinum-cobalt units",Agree,Apparent color,PCU,Total,,,,,
00085,"Odor at room temperature, threshold odor number",Agree,Odor threshold number,TON,,,,,,
00086,"Odor at 60 degrees Celsius, threshold odor number",Agree,Odor threshold number,TON,,60 deg C,,,,
00090,"Oxidation reduction potential, reference electrode not specified, millivolts",Agree,Oxidation reduction potential (ORP),mV,,,,,,
00094,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",Agree,Specific conductance,uS/cm @25C,Total,25 deg C,,,,
00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Agree,Specific conductance,uS/cm @25C,Total,25 deg C,,,,
00096,"Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius",Agree,Salinity,mg/mL @25C,Total,25 deg C,,,,
00117,"Precipitation, duration of storm event, minutes",Agree,Precipitation event duration,minutes,,,,,,
00132,"Dry days before precipitation event, days",Agree,Dry period preceding precipitation,days,,,,,,
00149,"Alpha-emitting isotopes of radium, water, filtered, picocuries per liter",Agree,Alpha emitting radium isotopes,pCi/L,Dissolved,,,,,
